cutoff,battery_id,policy,method,selected_config,inner_RMSE,candidate_count,exact_peer_count,reference_count,used_peer_count,effective_peer_count
50,6,80PER_3_6C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008743043967759329,18,1,39,39,6.0920214650298465
50,7,4_8C_80PER_4_8C,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0010975619477499555,6,1,39,1,1.0
50,7,4_8C_80PER_4_8C,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007318336422368044,18,1,39,1,1.0
50,7,4_8C_80PER_4_8C,multivariate,"{""L"":50,""dynamic_weight"":1.0,""tau_scale"":1.5}",0.001100929767431274,18,1,39,1,1.0
50,7,4_8C_80PER_4_8C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008648237955515139,18,1,39,39,9.98990058346885
50,8,4_8C_80PER_4_8C,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0010873279282137675,6,1,39,1,1.0
50,8,4_8C_80PER_4_8C,slope,"{""L"":50,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007158637686205889,18,1,39,1,1.0
50,8,4_8C_80PER_4_8C,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001087258837260762,18,1,39,1,1.0
50,8,4_8C_80PER_4_8C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008516646408667468,18,1,39,39,15.494312136160993
50,12,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011211430148674196,6,6,39,6,2.8692097002092796
50,12,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007332748844873868,18,6,39,6,5.163764468838666
50,12,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011210332359555437,18,6,39,6,4.352550064898724
50,12,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008670596790721471,18,6,39,39,11.523802356375912
50,13,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011209586387155787,6,6,39,6,3.003927329922264
50,13,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007307728043498671,18,6,39,6,5.182882123611176
50,13,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011210286294672867,18,6,39,6,2.772135728547794
50,13,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.000866349650470103,18,6,39,39,15.787200453258036
50,15,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011209059909036174,6,6,39,6,2.931202545855005
50,15,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.000731019074865915,18,6,39,6,5.1387393658197835
50,15,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011212471386400722,18,6,39,6,2.872190598531026
50,15,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.000866362890457909,18,6,39,39,15.452395480732571
50,17,4_8C_80PER_4_8C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001120144565752608,6,4,39,4,2.1931399750521607
50,17,4_8C_80PER_4_8C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007181717924936161,18,4,39,4,2.8869274342580282
50,17,4_8C_80PER_4_8C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011200212256564715,18,4,39,4,2.2143571649107905
50,17,4_8C_80PER_4_8C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008629934774807916,18,4,39,39,13.798301571452162
50,18,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011170402661245774,6,5,39,5,2.0972126418652524
50,18,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":0.75}",0.0007215772265927223,18,5,39,5,2.0972126418652524
50,18,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001119128253567481,18,5,39,5,3.3965887044649126
50,18,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008635329645439844,18,5,39,39,14.47073479383295
50,19,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0011203273091364978,6,6,39,6,2.9707356803753626
50,19,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007324830168671514,18,6,39,6,4.211596554873933
50,19,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011203487973237474,18,6,39,6,2.924509949942295
50,19,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008646905056102119,18,6,39,39,14.411508400063546
50,20,4_8C_80PER_4_8C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011199487975188816,6,4,39,4,1.6988758683871972
50,20,4_8C_80PER_4_8C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007316025080083595,18,4,39,4,2.8735828594100643
50,20,4_8C_80PER_4_8C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001120255134512706,18,4,39,4,2.9042360846769006
50,20,4_8C_80PER_4_8C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008639729658974129,18,4,39,39,9.823016274839548
50,21,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011212355298506624,6,6,39,6,2.7989215723035485
50,21,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007314335481610141,18,6,39,6,4.8083877099873495
50,21,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011211615383863918,18,6,39,6,2.9418148317514925
50,21,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008668112684190227,18,6,39,39,11.836538366546781
50,22,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0011206235046593216,6,6,39,6,3.0151115533424298
50,22,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007321005818407625,18,6,39,6,5.120096025217721
50,22,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001121349501445245,18,6,39,6,4.783229758816656
50,22,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008654413009932777,18,6,39,39,16.1633935082314
50,23,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011204891634155837,6,6,39,6,2.8133545368806323
50,23,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007300329835670992,18,6,39,6,4.870949474082221
50,23,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011204508037243254,18,6,39,6,3.1462963967487223
50,23,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008661327387995772,18,6,39,39,11.664510804266374
50,26,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011202396098384233,6,6,39,6,3.129147972533522
50,26,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007281243137739818,18,6,39,6,4.466905116195494
50,26,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011206058857732245,18,6,39,6,2.8415219592252425
50,26,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008646983082020431,18,6,39,39,14.68776622079784
50,27,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011199715949747548,6,6,39,6,3.4790772254294273
50,27,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007301381884566467,18,6,39,6,5.49809569835597
50,27,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011199499607118142,18,6,39,6,3.5994445941580944
50,27,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008661908950006041,18,6,39,39,11.188654613148275
50,28,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001120746896228603,6,6,39,6,2.5058236181157856
50,28,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007341665803669735,18,6,39,6,4.966280947811705
50,28,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011192894792642033,18,6,39,6,3.0203230713676796
50,28,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008668270643363752,18,6,39,39,13.411762100739042
50,29,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001121499527650256,6,5,39,5,2.786984710975481
50,29,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007344118981137421,18,5,39,5,4.2776285663185485
50,29,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011215650076578868,18,5,39,5,2.642103017791112
50,29,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008661828822758035,18,5,39,39,12.329839727554978
50,30,3_7C_31PER_5_9C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0013181563527012977,6,1,39,1,1.0
50,30,3_7C_31PER_5_9C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":0.75}",0.0009480719714145936,18,1,39,1,1.0
50,30,3_7C_31PER_5_9C_NEWSTRUCTURE,multivariate,"{""L"":30,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0013215599629854949,18,1,39,1,1.0
50,30,3_7C_31PER_5_9C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":2.0,""tau_scale"":0.75}",0.001120052534709545,18,1,39,39,5.232536036619273
50,31,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011204237400014097,6,5,39,5,3.065813725619067
50,31,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007321411818779235,18,5,39,5,4.759638439372413
50,31,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":30,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011207871268072848,18,5,39,5,4.015533648632502
50,31,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008639463908263915,18,5,39,39,15.938913827357672
50,32,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011197301895157796,6,6,39,6,3.2095677839052574
50,32,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007307431339411497,18,6,39,6,4.0554115610711445
50,32,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001119483191314595,18,6,39,6,2.8038413647932177
50,32,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008642350462687803,18,6,39,39,14.399681891523912
50,33,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011179999630101238,6,6,39,6,3.3124353604562247
50,33,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007328101620869172,18,6,39,6,5.2477822064862325
50,33,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.001118103331457135,18,6,39,6,4.371755183401373
50,33,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.000864346388743713,18,6,39,39,10.640700193010144
50,34,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001120975343531669,6,6,39,6,2.9288700403011374
50,34,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007290266359582052,18,6,39,6,4.7084892003245615
50,34,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011212646665329092,18,6,39,6,3.346486575319866
50,34,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008644697468499957,18,6,39,39,14.592354359310841
50,35,3_7C_31PER_5_9C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0012025076394589639,6,1,39,1,1.0
50,35,3_7C_31PER_5_9C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":0.75}",0.0008359787511786675,18,1,39,1,1.0
50,35,3_7C_31PER_5_9C_NEWSTRUCTURE,multivariate,"{""L"":30,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0012056803880136511,18,1,39,1,1.0
50,35,3_7C_31PER_5_9C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":2.0,""tau_scale"":0.75}",0.000973877593642913,18,1,39,39,4.968743464745282
50,36,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011209774670656112,6,6,39,6,4.833264034344967
50,36,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007339604246673808,18,6,39,6,5.1453081170829
50,36,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011208775828477114,18,6,39,6,3.218718559074554
50,36,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008657874373700106,18,6,39,39,14.711541491000018
50,37,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011206789224774043,6,5,39,5,2.695114842618589
50,37,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007346374609087825,18,5,39,5,4.392597087485126
50,37,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.00112080413907142,18,5,39,5,2.1063636675029684
50,37,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008668080281207528,18,5,39,39,11.347573315374433
50,38,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0011199910871336194,6,6,39,6,3.448801229040673
50,38,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007326993667649632,18,6,39,6,5.864090145777389
50,38,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.5,""tau_scale"":0.75}",0.0011192591198763275,18,6,39,6,3.897538199289294
50,38,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008681960840365772,18,6,39,39,15.774296440788675
50,39,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011209681136978454,6,6,39,6,2.9688588178594966
50,39,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007314398003438896,18,6,39,6,5.128378399687852
50,39,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011209797676620173,18,6,39,6,4.723047619992932
50,39,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008668939373970335,18,6,39,39,11.473683012033035
50,40,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001121996262168693,6,6,39,6,2.5527734398159296
50,40,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007320525785039152,18,6,39,6,4.807795696664849
50,40,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011213519182992177,18,6,39,6,3.056843389966808
50,40,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008672586304438579,18,6,39,39,13.486883890872498
50,41,4_8C_80PER_4_8C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0010905970903620989,6,4,39,4,3.0590849923523358
50,41,4_8C_80PER_4_8C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0006840624283908002,18,4,39,4,3.908424356284129
50,41,4_8C_80PER_4_8C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0010909371906833608,18,4,39,4,3.38454354021222
50,41,4_8C_80PER_4_8C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008279619435451821,18,4,39,39,11.708638861609087
50,42,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001120745384368036,6,5,39,5,2.7054017055506305
50,42,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007322433340778261,18,5,39,5,4.389509981402186
50,42,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011211279827953746,18,5,39,5,3.665068928529429
50,42,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008643384248421891,18,5,39,39,11.13553768801283
50,43,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":30,""tau_scale"":1.5}",0.0011218644189214862,6,6,39,6,4.809148954368723
50,43,5_3C_54PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007336773149646801,18,6,39,6,5.892533481771557
50,43,5_3C_54PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.5,""tau_scale"":0.75}",0.0011211068175323183,18,6,39,6,4.46164617601183
50,43,5_3C_54PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008663997684729387,18,6,39,39,15.272700289429276
50,44,5_6C_19PER_4_6C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011214742520525556,6,6,39,6,3.1377285221608306
50,44,5_6C_19PER_4_6C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007314773886947279,18,6,39,6,4.998586039775673
50,44,5_6C_19PER_4_6C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011213675892235127,18,6,39,6,2.8553002373754883
50,44,5_6C_19PER_4_6C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008666566202723649,18,6,39,39,10.543152423548364
50,45,5_6C_36PER_4_3C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":1.5}",0.0011187855334006582,6,6,39,6,5.348653724269728
50,45,5_6C_36PER_4_3C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007351232005926537,18,6,39,6,5.348653724269728
50,45,5_6C_36PER_4_3C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011179037258206856,18,6,39,6,4.776170506737782
50,45,5_6C_36PER_4_3C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008644698913735704,18,6,39,39,16.355427801298283
50,46,4_8C_80PER_4_8C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011218867083564923,6,4,39,4,1.6989114037436175
50,46,4_8C_80PER_4_8C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007432436286154881,18,4,39,4,2.8715845404822695
50,46,4_8C_80PER_4_8C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011219231180468418,18,4,39,4,2.777740062456187
50,46,4_8C_80PER_4_8C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.000865038315622966,18,4,39,39,9.90416597358187
50,47,5C_67PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.001118717523314943,6,5,39,5,2.029758791151661
50,47,5C_67PER_4C_NEWSTRUCTURE,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":0.75}",0.0007261208021950745,18,5,39,5,2.029758791151661
50,47,5C_67PER_4C_NEWSTRUCTURE,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011202174391028994,18,5,39,5,3.9229215333281933
50,47,5C_67PER_4C_NEWSTRUCTURE,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008635998089091564,18,5,39,39,14.300339016553892
50,48,5_3C_54PER_4C_NEWSTRUCTURE,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011211568016843616,6,6,39,6,2.6844464325602435
