battery_id,global_id,dataset_id,prediction_test,policy,matr_source_key,external_eol_cycles,eol_status,eol_evidence,contest_last_cycle,contest_last_soh,mapping_method
28,114,3,0,5_6C_36PER_4_3C_NEWSTRUCTURE,MATR_b3c19.pkl,1152,available,公开 Life Labels 直接给出,200,0.993623157,batch-3 顺序映射（待曲线复核）
29,115,3,0,5C_67PER_4C_NEWSTRUCTURE,MATR_b3c20.pkl,811,available,公开 Life Labels 直接给出,200,0.995191763,batch-3 顺序映射（待曲线复核）
30,116,3,0,3_7C_31PER_5_9C_NEWSTRUCTURE,MATR_b3c21.pkl,770,available,公开 Life Labels 直接给出,200,0.971517536,batch-3 顺序映射（待曲线复核）
31,119,3,0,5C_67PER_4C_NEWSTRUCTURE,MATR_b3c24.pkl,823,available,公开 Life Labels 直接给出,200,0.995305928,batch-3 顺序映射（待曲线复核）
32,120,3,0,5_3C_54PER_4C_NEWSTRUCTURE,MATR_b3c25.pkl,988,available,公开 Life Labels 直接给出,200,0.995780906,batch-3 顺序映射（待曲线复核）
33,121,3,0,5_6C_19PER_4_6C_NEWSTRUCTURE,MATR_b3c26.pkl,1025,available,公开 Life Labels 直接给出,200,0.995231117,batch-3 顺序映射（待曲线复核）
34,122,3,0,5_6C_36PER_4_3C_NEWSTRUCTURE,MATR_b3c27.pkl,847,available,公开 Life Labels 直接给出,200,0.994186049,batch-3 顺序映射（待曲线复核）
35,123,3,0,3_7C_31PER_5_9C_NEWSTRUCTURE,MATR_b3c28.pkl,539,available,公开 Life Labels 直接给出,200,0.96029821,batch-3 顺序映射（待曲线复核）
36,125,3,0,5_3C_54PER_4C_NEWSTRUCTURE,MATR_b3c30.pkl,933,available,公开 Life Labels 直接给出,200,0.995450934,batch-3 顺序映射（待曲线复核）
37,128,3,0,5C_67PER_4C_NEWSTRUCTURE,MATR_b3c33.pkl,1282,available,公开 Life Labels 直接给出,200,0.994839326,batch-3 顺序映射（待曲线复核）
38,129,3,0,5_3C_54PER_4C_NEWSTRUCTURE,MATR_b3c34.pkl,1156,available,公开 Life Labels 直接给出,200,0.993737309,batch-3 顺序映射（待曲线复核）
39,130,3,0,5_6C_19PER_4_6C_NEWSTRUCTURE,MATR_b3c35.pkl,1091,available,公开 Life Labels 直接给出,200,0.994542376,batch-3 顺序映射（待曲线复核）
40,131,3,0,5_6C_36PER_4_3C_NEWSTRUCTURE,MATR_b3c36.pkl,921,available,公开 Life Labels 直接给出,200,0.993040688,batch-3 顺序映射（待曲线复核）
41,132,3,0,4_8C_80PER_4_8C_NEWSTRUCTURE,MATR_b3c37.pkl,,unavailable_quality_exclusion,原始 LoadData 先删除 batch3(38)：数据采集/连接问题。,200,0.949706539,batch-3 顺序映射（待曲线复核）
42,133,3,0,5C_67PER_4C_NEWSTRUCTURE,MATR_b3c38.pkl,1932,available,公开 Life Labels 直接给出,200,0.996213509,batch-3 顺序映射（待曲线复核）
43,134,3,0,5_3C_54PER_4C_NEWSTRUCTURE,MATR_b3c39.pkl,1154,available,公开 Life Labels 直接给出,200,0.994707771,batch-3 顺序映射（待曲线复核）
44,135,3,0,5_6C_19PER_4_6C_NEWSTRUCTURE,MATR_b3c40.pkl,794,available,公开 Life Labels 直接给出,200,0.993929398,batch-3 顺序映射（待曲线复核）
45,136,3,0,5_6C_36PER_4_3C_NEWSTRUCTURE,MATR_b3c41.pkl,784,available,公开 Life Labels 直接给出,200,0.996571717,batch-3 顺序映射（待曲线复核）
46,137,3,0,4_8C_80PER_4_8C_NEWSTRUCTURE,MATR_b3c42.pkl,,unavailable_right_censored,不在公开 Life Labels；原始流程将末容量仍高于0.885 Ah的记录视为未完成并剔除。,200,0.996961715,batch-3 顺序映射（待曲线复核）
47,138,3,0,5C_67PER_4C_NEWSTRUCTURE,MATR_b3c43.pkl,,unavailable_right_censored,不在公开 Life Labels；原始流程将末容量仍高于0.885 Ah的记录视为未完成并剔除。,200,0.996565081,batch-3 顺序映射（待曲线复核）
48,139,3,0,5_3C_54PER_4C_NEWSTRUCTURE,MATR_b3c44.pkl,938,available,公开 Life Labels 直接给出,200,0.996938113,batch-3 顺序映射（待曲线复核）
49,140,3,0,4_8C_80PER_4_8C_NEWSTRUCTURE,MATR_b3c45.pkl,1799,available,公开 Life Labels 直接给出,200,0.996960975,batch-3 顺序映射（待曲线复核）
